
Data_X,Data_Y,Angle,Label_X,Label_Y
-1.011921912431717,-0.44943925738334656,-2.7221110923087792,-1.011921912431717,-0.44943925738334656
-1.007791519165039,-0.44758787751197815,-2.722712046201978,-1.007791519165039,-0.44758787751197815
-1.0036633014678955,-0.44576096534729004,-2.7227147503291578,-1.0036633014678955,-0.44576096534729004
-0.9995780438184738,-0.44396042823791504,-2.7227350139209476,-0.9995780438184738,-0.44396042823791504
-0.9954780489206314,-0.44214412569999695,-2.7227249525481474,-0.9954780489206314,-0.44214412569999695
-0.9914379417896271,-0.44039611518383026,-2.7229056100569737,-0.9914379417896271,-0.44039611518383026
-0.9872722327709198,-0.43859319388866425,-2.7229039377848836,-0.9872722327709198,-0.43859319388866425
-0.9832830727100372,-0.43677613139152527,-2.7229571314604084,-0.9832830727100372,-0.43677613139152527
-0.9792345315217972,-0.434980571269989,-2.7229220731423074,-0.9792345315217972,-0.434980571269989
-0.9752305597066879,-0.43320082128047943,-2.722932659485023,-0.9752305597066879,-0.43320082128047943
-0.97124844789505,-0.4314328134059906,-2.7229425691831715,-0.97124844789505,-0.4314328134059906
-0.9673896133899689,-0.42965760827064514,-2.723074642921912,-0.9673896133899689,-0.42965760827064514
-0.963335320353508,-0.4279729127883911,-2.7231284264349833,-0.963335320353508,-0.4279729127883911
-0.9593809545040131,-0.4262181669473648,-2.7230862220288983,-0.9593809545040131,-0.4262181669473648
-0.9554583430290222,-0.4244731515645981,-2.7230704498779086,-0.9554583430290222,-0.4244731515645981
-0.951553225517273,-0.4227485954761505,-2.723065850479742,-0.951553225517273,-0.4227485954761505
-0.9477427303791046,-0.42107830941677094,-2.7229853769999965,-0.9477427303791046,-0.42107830941677094
-0.9438125044107437,-0.41933244466781616,-2.7229672731308106,-0.9438125044107437,-0.41933244466781616
-0.9398959279060364,-0.41769760847091675,-2.722915321403497,-0.9398959279060364,-0.41769760847091675
-0.9360028207302094,-0.4159586727619171,-2.7229032771763753,-0.9360028207302094,-0.4159586727619171
-0.9321755468845367,-0.41426846385002136,-2.722882807170949,-0.9321755468845367,-0.41426846385002136
-0.9282925128936768,-0.41263216733932495,-2.722906380930943,-0.9282925128936768,-0.41263216733932495
-0.9244672358036041,-0.41093048453330994,-2.7229346071553495,-0.9244672358036041,-0.41093048453330994
-0.9206887483596802,-0.4092475473880768,-2.7229455669428457,-0.9206887483596802,-0.4092475473880768
-0.9169302880764008,-0.40757764875888824,-2.7229522658813203,-0.9169302880764008,-0.40757764875888824
-0.9131903350353241,-0.40591272711753845,-2.722927375592351,-0.9131903350353241,-0.40591272711753845
-0.9092903286218643,-0.40438617765903473,-2.722811172515248,-0.9092903286218643,-0.40438617765903473
-0.9055235087871552,-0.40270453691482544,-2.72279916027484,-0.9055235087871552,-0.40270453691482544
-0.9018180668354034,-0.40106137096881866,-2.722797159333399,-0.9018180668354034,-0.40106137096881866
-0.8981327414512634,-0.3994225859642029,-2.7227601620149957,-0.8981327414512634,-0.3994225859642029
-0.8944635838270187,-0.39778849482536316,-2.722775720062228,-0.8944635838270187,-0.39778849482536316
-0.8908106237649918,-0.39616459608078003,-2.722746551541772,-0.8908106237649918,-0.39616459608078003
-0.887090802192688,-0.39461225271224976,-2.7227145980163794,-0.887090802192688,-0.39461225271224976
-0.8834319710731506,-0.39298735558986664,-2.7226988804094048,-0.8834319710731506,-0.39298735558986664
-0.8798189461231232,-0.391381174325943,-2.7226604076841783,-0.8798189461231232,-0.391381174325943
-0.876222774386406,-0.38979077339172363,-2.722634370184148,-0.876222774386406,-0.38979077339172363
-0.8727197796106339,-0.3882500231266022,-2.7226431684997894,-0.8727197796106339,-0.3882500231266022
-0.8690924942493439,-0.38664373755455017,-2.7226008620146898,-0.8690924942493439,-0.38664373755455017
-0.8655382841825485,-0.38506172597408295,-2.722601360668758,-0.8655382841825485,-0.38506172597408295
-0.8620385229587555,-0.38354867696762085,-2.722631409619552,-0.8620385229587555,-0.38354867696762085
-0.8583982288837433,-0.38199563324451447,-2.722512782926988,-0.8583982288837433,-0.38199563324451447
-0.8547999560832977,-0.3804965913295746,-2.722471099479326,-0.8547999560832977,-0.3804965913295746
-0.8512772023677826,-0.37892578542232513,-2.722476382743393,-0.8512772023677826,-0.37892578542232513
-0.8477910608053207,-0.3773716688156128,-2.722416546469924,-0.8477910608053207,-0.3773716688156128
-0.8443322479724884,-0.37582914531230927,-2.722416048389408,-0.8443322479724884,-0.37582914531230927
-0.8408819735050201,-0.37429338693618774,-2.7224061470858794,-0.8408819735050201,-0.37429338693618774
-0.8373869955539703,-0.37283793091773987,-2.722378608439913,-0.8373869955539703,-0.37283793091773987
-0.8339975774288177,-0.3713143765926361,-2.722852760805332,-0.8339975774288177,-0.3713143765926361
-0.8305505514144897,-0.3697740435600281,-2.7228247537867882,-0.8305505514144897,-0.3697740435600281
-0.8271573930978775,-0.36825962364673615,-2.7228034741239466,-0.8271573930978775,-0.36825962364673615
-0.8237753286957741,-0.36675773561000824,-2.7227989740655043,-0.8237753286957741,-0.36675773561000824
-0.8203484863042831,-0.3653404116630554,-2.7227400314575347,-0.8203484863042831,-0.3653404116630554
-0.8169578090310097,-0.36382392048835754,-2.7227335912390345,-0.8169578090310097,-0.36382392048835754
-0.8135421276092529,-0.36241012811660767,-2.7226713515154235,-0.8135421276092529,-0.36241012811660767
-0.8101826161146164,-0.3609156608581543,-2.722632529045339,-0.8101826161146164,-0.3609156608581543
-0.8068685531616211,-0.3594431132078171,-2.7225824668746172,-0.8068685531616211,-0.3594431132078171
-0.8035907000303268,-0.3579729497432709,-2.7225599442613277,-0.8035907000303268,-0.3579729497432709
-0.8002964481711388,-0.35651350021362305,-2.7225019020838674,-0.8002964481711388,-0.35651350021362305
-0.7970284447073936,-0.35505664348602295,-2.7224819515624747,-0.7970284447073936,-0.35505664348602295
-0.7937711849808693,-0.35360828042030334,-2.722466135559439,-0.7937711849808693,-0.35360828042030334
-0.7904955148696899,-0.3522668480873108,-2.722404093184988,-0.7904955148696899,-0.3522668480873108
-0.7872028723359108,-0.3508051782846451,-2.7223660488674266,-0.7872028723359108,-0.3508051782846451
-0.7839784994721413,-0.3493722528219223,-2.722306240326487,-0.7839784994721413,-0.3493722528219223
-0.7807843536138535,-0.34795065224170685,-2.7222594181791173,-0.7807843536138535,-0.34795065224170685
-0.7776432782411575,-0.34654006361961365,-2.722827477362842,-0.7776432782411575,-0.34654006361961365
